W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,J
[0.79901987],[0.84483984],[0.54953753],[0.00782242],[0.75967589],[0.36019728],[0.75883488],[0.1574878],[0.98760037],[0.63162924],[0.57803545],[0.76355533],[[1383.02077619]]
[-6.52359927],[-6.4777793],[-6.77308161],[-7.31479671],[-6.56294324],[-6.96242186],[-6.56378425],[-7.16513133],[-6.33501877],[-6.6909899],[-6.74458369],[-6.5590638],[[479490.43102521]]
[131.38273628],[131.42855625],[131.13325394],[130.59153884],[131.34339231],[130.94391369],[131.3425513],[130.74120422],[131.57131678],[131.21534565],[131.16175186],[131.34727175],[[1.70054176e+08]]
[-2465.79691153],[-2465.75109157],[-2466.04639387],[-2466.58810898],[-2465.83625551],[-2466.23573412],[-2465.83709652],[-2466.4384436],[-2465.60833103],[-2465.96430216],[-2466.01789596],[-2465.83237607],[[6.03146436e+10]]
[46446.69210565],[46446.73792562],[46446.44262331],[46445.9009082],[46446.65276167],[46446.25328306],[46446.65192066],[46446.05057358],[46446.88068615],[46446.52471502],[46446.47112123],[46446.65664111],[[2.13923409e+13]]
[-874718.53566989],[-874718.48984993],[-874718.78515224],[-874719.32686734],[-874718.57501387],[-874718.97449248],[-874718.57585488],[-874719.17720196],[-874718.34708939],[-874718.70306052],[-874718.75665432],[-874718.57113443],[[7.58741529e+15]]
[16473516.93369442],[16473516.97951439],[16473516.68421208],[16473516.14249698],[16473516.89435045],[16473516.49487183],[16473516.89350944],[16473516.29216236],[16473517.12227493],[16473516.76630379],[16473516.71271],[16473516.89822989],[[2.6910973e+18]]
[-3.10244497e+08],[-3.10244497e+08],[-3.10244497e+08],[-3.10244498e+08],[-3.10244497e+08],[-3.10244498e+08],[-3.10244497e+08],[-3.10244498e+08],[-3.10244497e+08],[-3.10244497e+08],[-3.10244497e+08],[-3.10244497e+08],[[9.54475852e+20]]
[5.8428113e+09],[5.8428113e+09],[5.8428113e+09],[5.8428113e+09],[5.8428113e+09],[5.8428113e+09],[5.8428113e+09],[5.8428113e+09],[5.8428113e+09],[5.8428113e+09],[5.8428113e+09],[5.8428113e+09],[[3.38532595e+23]]
[-1.10037226e+11],[-1.10037226e+11],[-1.10037226e+11],[-1.10037226e+11],[-1.10037226e+11],[-1.10037226e+11],[-1.10037226e+11],[-1.10037226e+11],[-1.10037226e+11],[-1.10037226e+11],[-1.10037226e+11],[-1.10037226e+11],[[1.20070421e+26]]
[2.0723228e+12],[2.0723228e+12],[2.0723228e+12],[2.0723228e+12],[2.0723228e+12],[2.0723228e+12],[2.0723228e+12],[2.0723228e+12],[2.0723228e+12],[2.0723228e+12],[2.0723228e+12],[2.0723228e+12],[[4.25864638e+28]]
[-3.90278995e+13],[-3.90278995e+13],[-3.90278995e+13],[-3.90278995e+13],[-3.90278995e+13],[-3.90278995e+13],[-3.90278995e+13],[-3.90278995e+13],[-3.90278995e+13],[-3.90278995e+13],[-3.90278995e+13],[-3.90278995e+13],[[1.51045268e+31]]
[7.35009496e+14],[7.35009496e+14],[7.35009496e+14],[7.35009496e+14],[7.35009496e+14],[7.35009496e+14],[7.35009496e+14],[7.35009496e+14],[7.35009496e+14],[7.35009496e+14],[7.35009496e+14],[7.35009496e+14],[[5.35725932e+33]]
[-1.38423786e+16],[-1.38423786e+16],[-1.38423786e+16],[-1.38423786e+16],[-1.38423786e+16],[-1.38423786e+16],[-1.38423786e+16],[-1.38423786e+16],[-1.38423786e+16],[-1.38423786e+16],[-1.38423786e+16],[-1.38423786e+16],[[1.90010768e+36]]
