W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,J
[-3.85640537e+33],[-3.85640537e+33],[-3.85640537e+33],[-3.85640537e+33],[-3.85640537e+33],[-3.85640537e+33],[-3.85640537e+33],[-3.85640537e+33],[-3.85640537e+33],[-3.85640537e+33],[-3.85640537e+33],[-3.85640537e+33],[[1.47476264e+71]]
[7.60981573e+35],[7.60981573e+35],[7.60981573e+35],[7.60981573e+35],[7.60981573e+35],[7.60981573e+35],[7.60981573e+35],[7.60981573e+35],[7.60981573e+35],[7.60981573e+35],[7.60981573e+35],[7.60981573e+35],[[5.7425535e+75]]
[-1.50163922e+38],[-1.50163922e+38],[-1.50163922e+38],[-1.50163922e+38],[-1.50163922e+38],[-1.50163922e+38],[-1.50163922e+38],[-1.50163922e+38],[-1.50163922e+38],[-1.50163922e+38],[-1.50163922e+38],[-1.50163922e+38],[[2.23608327e+80]]
[2.96317337e+40],[2.96317337e+40],[2.96317337e+40],[2.96317337e+40],[2.96317337e+40],[2.96317337e+40],[2.96317337e+40],[2.96317337e+40],[2.96317337e+40],[2.96317337e+40],[2.96317337e+40],[2.96317337e+40],[[8.70704711e+84]]
[-5.84720773e+42],[-5.84720773e+42],[-5.84720773e+42],[-5.84720773e+42],[-5.84720773e+42],[-5.84720773e+42],[-5.84720773e+42],[-5.84720773e+42],[-5.84720773e+42],[-5.84720773e+42],[-5.84720773e+42],[-5.84720773e+42],[[3.39042246e+89]]
[1.15382511e+45],[1.15382511e+45],[1.15382511e+45],[1.15382511e+45],[1.15382511e+45],[1.15382511e+45],[1.15382511e+45],[1.15382511e+45],[1.15382511e+45],[1.15382511e+45],[1.15382511e+45],[1.15382511e+45],[[1.32019091e+94]]
[-2.2768344e+47],[-2.2768344e+47],[-2.2768344e+47],[-2.2768344e+47],[-2.2768344e+47],[-2.2768344e+47],[-2.2768344e+47],[-2.2768344e+47],[-2.2768344e+47],[-2.2768344e+47],[-2.2768344e+47],[-2.2768344e+47],[[5.14066923e+98]]
[4.49286021e+49],[4.49286021e+49],[4.49286021e+49],[4.49286021e+49],[4.49286021e+49],[4.49286021e+49],[4.49286021e+49],[4.49286021e+49],[4.49286021e+49],[4.49286021e+49],[4.49286021e+49],[4.49286021e+49],[[2.00171656e+103]]
[-8.86572727e+51],[-8.86572727e+51],[-8.86572727e+51],[-8.86572727e+51],[-8.86572727e+51],[-8.86572727e+51],[-8.86572727e+51],[-8.86572727e+51],[-8.86572727e+51],[-8.86572727e+51],[-8.86572727e+51],[-8.86572727e+51],[[7.79445052e+107]]
[1.7494673e+54],[1.7494673e+54],[1.7494673e+54],[1.7494673e+54],[1.7494673e+54],[1.7494673e+54],[1.7494673e+54],[1.7494673e+54],[1.7494673e+54],[1.7494673e+54],[1.7494673e+54],[1.7494673e+54],[[3.035068e+112]]
[-3.45221066e+56],[-3.45221066e+56],[-3.45221066e+56],[-3.45221066e+56],[-3.45221066e+56],[-3.45221066e+56],[-3.45221066e+56],[-3.45221066e+56],[-3.45221066e+56],[-3.45221066e+56],[-3.45221066e+56],[-3.45221066e+56],[[1.18182003e+117]]
[6.81222134e+58],[6.81222134e+58],[6.81222134e+58],[6.81222134e+58],[6.81222134e+58],[6.81222134e+58],[6.81222134e+58],[6.81222134e+58],[6.81222134e+58],[6.81222134e+58],[6.81222134e+58],[6.81222134e+58],[[4.6018692e+121]]
[-1.34425051e+61],[-1.34425051e+61],[-1.34425051e+61],[-1.34425051e+61],[-1.34425051e+61],[-1.34425051e+61],[-1.34425051e+61],[-1.34425051e+61],[-1.34425051e+61],[-1.34425051e+61],[-1.34425051e+61],[-1.34425051e+61],[[1.79191412e+126]]
[2.65259943e+63],[2.65259943e+63],[2.65259943e+63],[2.65259943e+63],[2.65259943e+63],[2.65259943e+63],[2.65259943e+63],[2.65259943e+63],[2.65259943e+63],[2.65259943e+63],[2.65259943e+63],[2.65259943e+63],[[6.97750432e+130]]
[-5.23435451e+65],[-5.23435451e+65],[-5.23435451e+65],[-5.23435451e+65],[-5.23435451e+65],[-5.23435451e+65],[-5.23435451e+65],[-5.23435451e+65],[-5.23435451e+65],[-5.23435451e+65],[-5.23435451e+65],[-5.23435451e+65],[[2.7169587e+135]]
[1.03289124e+68],[1.03289124e+68],[1.03289124e+68],[1.03289124e+68],[1.03289124e+68],[1.03289124e+68],[1.03289124e+68],[1.03289124e+68],[1.03289124e+68],[1.03289124e+68],[1.03289124e+68],[1.03289124e+68],[[1.05795199e+140]]
[-2.03819652e+70],[-2.03819652e+70],[-2.03819652e+70],[-2.03819652e+70],[-2.03819652e+70],[-2.03819652e+70],[-2.03819652e+70],[-2.03819652e+70],[-2.03819652e+70],[-2.03819652e+70],[-2.03819652e+70],[-2.03819652e+70],[[4.11954148e+144]]
[4.02195786e+72],[4.02195786e+72],[4.02195786e+72],[4.02195786e+72],[4.02195786e+72],[4.02195786e+72],[4.02195786e+72],[4.02195786e+72],[4.02195786e+72],[4.02195786e+72],[4.02195786e+72],[4.02195786e+72],[[1.60410134e+149]]
[-7.93649921e+74],[-7.93649921e+74],[-7.93649921e+74],[-7.93649921e+74],[-7.93649921e+74],[-7.93649921e+74],[-7.93649921e+74],[-7.93649921e+74],[-7.93649921e+74],[-7.93649921e+74],[-7.93649921e+74],[-7.93649921e+74],[[6.24618329e+153]]
[1.56610342e+77],[1.56610342e+77],[1.56610342e+77],[1.56610342e+77],[1.56610342e+77],[1.56610342e+77],[1.56610342e+77],[1.56610342e+77],[1.56610342e+77],[1.56610342e+77],[1.56610342e+77],[1.56610342e+77],[[2.43219083e+158]]
[-3.0903801e+79],[-3.0903801e+79],[-3.0903801e+79],[-3.0903801e+79],[-3.0903801e+79],[-3.0903801e+79],[-3.0903801e+79],[-3.0903801e+79],[-3.0903801e+79],[-3.0903801e+79],[-3.0903801e+79],[-3.0903801e+79],[[9.47066703e+162]]
[6.09822382e+81],[6.09822382e+81],[6.09822382e+81],[6.09822382e+81],[6.09822382e+81],[6.09822382e+81],[6.09822382e+81],[6.09822382e+81],[6.09822382e+81],[6.09822382e+81],[6.09822382e+81],[6.09822382e+81],[[3.68776714e+167]]
[-1.20335792e+84],[-1.20335792e+84],[-1.20335792e+84],[-1.20335792e+84],[-1.20335792e+84],[-1.20335792e+84],[-1.20335792e+84],[-1.20335792e+84],[-1.20335792e+84],[-1.20335792e+84],[-1.20335792e+84],[-1.20335792e+84],[[1.43597346e+172]]
[2.37457714e+86],[2.37457714e+86],[2.37457714e+86],[2.37457714e+86],[2.37457714e+86],[2.37457714e+86],[2.37457714e+86],[2.37457714e+86],[2.37457714e+86],[2.37457714e+86],[2.37457714e+86],[2.37457714e+86],[[5.59151294e+176]]
[-4.68573521e+88],[-4.68573521e+88],[-4.68573521e+88],[-4.68573521e+88],[-4.68573521e+88],[-4.68573521e+88],[-4.68573521e+88],[-4.68573521e+88],[-4.68573521e+88],[-4.68573521e+88],[-4.68573521e+88],[-4.68573521e+88],[[2.17726984e+181]]
[9.24632606e+90],[9.24632606e+90],[9.24632606e+90],[9.24632606e+90],[9.24632606e+90],[9.24632606e+90],[9.24632606e+90],[9.24632606e+90],[9.24632606e+90],[9.24632606e+90],[9.24632606e+90],[9.24632606e+90],[[8.47803447e+185]]
[-1.82457057e+93],[-1.82457057e+93],[-1.82457057e+93],[-1.82457057e+93],[-1.82457057e+93],[-1.82457057e+93],[-1.82457057e+93],[-1.82457057e+93],[-1.82457057e+93],[-1.82457057e+93],[-1.82457057e+93],[-1.82457057e+93],[[3.30124761e+190]]
[3.60041138e+95],[3.60041138e+95],[3.60041138e+95],[3.60041138e+95],[3.60041138e+95],[3.60041138e+95],[3.60041138e+95],[3.60041138e+95],[3.60041138e+95],[3.60041138e+95],[3.60041138e+95],[3.60041138e+95],[[1.28546727e+195]]
[-7.10466471e+97],[-7.10466471e+97],[-7.10466471e+97],[-7.10466471e+97],[-7.10466471e+97],[-7.10466471e+97],[-7.10466471e+97],[-7.10466471e+97],[-7.10466471e+97],[-7.10466471e+97],[-7.10466471e+97],[-7.10466471e+97],[[5.00545941e+199]]
[1.40195814e+100],[1.40195814e+100],[1.40195814e+100],[1.40195814e+100],[1.40195814e+100],[1.40195814e+100],[1.40195814e+100],[1.40195814e+100],[1.40195814e+100],[1.40195814e+100],[1.40195814e+100],[1.40195814e+100],[[1.94906744e+204]]
[-2.76647347e+102],[-2.76647347e+102],[-2.76647347e+102],[-2.76647347e+102],[-2.76647347e+102],[-2.76647347e+102],[-2.76647347e+102],[-2.76647347e+102],[-2.76647347e+102],[-2.76647347e+102],[-2.76647347e+102],[-2.76647347e+102],[[7.58944098e+208]]
[5.45906129e+104],[5.45906129e+104],[5.45906129e+104],[5.45906129e+104],[5.45906129e+104],[5.45906129e+104],[5.45906129e+104],[5.45906129e+104],[5.45906129e+104],[5.45906129e+104],[5.45906129e+104],[5.45906129e+104],[[2.95523968e+213]]
[-1.07723246e+107],[-1.07723246e+107],[-1.07723246e+107],[-1.07723246e+107],[-1.07723246e+107],[-1.07723246e+107],[-1.07723246e+107],[-1.07723246e+107],[-1.07723246e+107],[-1.07723246e+107],[-1.07723246e+107],[-1.07723246e+107],[[1.15073582e+218]]
[2.12569471e+109],[2.12569471e+109],[2.12569471e+109],[2.12569471e+109],[2.12569471e+109],[2.12569471e+109],[2.12569471e+109],[2.12569471e+109],[2.12569471e+109],[2.12569471e+109],[2.12569471e+109],[2.12569471e+109],[[4.48083089e+222]]
[-4.19461739e+111],[-4.19461739e+111],[-4.19461739e+111],[-4.19461739e+111],[-4.19461739e+111],[-4.19461739e+111],[-4.19461739e+111],[-4.19461739e+111],[-4.19461739e+111],[-4.19461739e+111],[-4.19461739e+111],[-4.19461739e+111],[[1.74478322e+227]]
[8.27720696e+113],[8.27720696e+113],[8.27720696e+113],[8.27720696e+113],[8.27720696e+113],[8.27720696e+113],[8.27720696e+113],[8.27720696e+113],[8.27720696e+113],[8.27720696e+113],[8.27720696e+113],[8.27720696e+113],[[6.79398209e+231]]
[-1.63333502e+116],[-1.63333502e+116],[-1.63333502e+116],[-1.63333502e+116],[-1.63333502e+116],[-1.63333502e+116],[-1.63333502e+116],[-1.63333502e+116],[-1.63333502e+116],[-1.63333502e+116],[-1.63333502e+116],[-1.63333502e+116],[[2.64549728e+236]]
[3.22304772e+118],[3.22304772e+118],[3.22304772e+118],[3.22304772e+118],[3.22304772e+118],[3.22304772e+118],[3.22304772e+118],[3.22304772e+118],[3.22304772e+118],[3.22304772e+118],[3.22304772e+118],[3.22304772e+118],[[1.03012575e+241]]
[-6.36001584e+120],[-6.36001584e+120],[-6.36001584e+120],[-6.36001584e+120],[-6.36001584e+120],[-6.36001584e+120],[-6.36001584e+120],[-6.36001584e+120],[-6.36001584e+120],[-6.36001584e+120],[-6.36001584e+120],[-6.36001584e+120],[[4.01118935e+245]]
[1.25501714e+123],[1.25501714e+123],[1.25501714e+123],[1.25501714e+123],[1.25501714e+123],[1.25501714e+123],[1.25501714e+123],[1.25501714e+123],[1.25501714e+123],[1.25501714e+123],[1.25501714e+123],[1.25501714e+123],[[1.56191029e+250]]
[-2.47651589e+125],[-2.47651589e+125],[-2.47651589e+125],[-2.47651589e+125],[-2.47651589e+125],[-2.47651589e+125],[-2.47651589e+125],[-2.47651589e+125],[-2.47651589e+125],[-2.47651589e+125],[-2.47651589e+125],[-2.47651589e+125],[[6.08189625e+254]]
[4.88689019e+127],[4.88689019e+127],[4.88689019e+127],[4.88689019e+127],[4.88689019e+127],[4.88689019e+127],[4.88689019e+127],[4.88689019e+127],[4.88689019e+127],[4.88689019e+127],[4.88689019e+127],[4.88689019e+127],[[2.36821937e+259]]
[-9.64326366e+129],[-9.64326366e+129],[-9.64326366e+129],[-9.64326366e+129],[-9.64326366e+129],[-9.64326366e+129],[-9.64326366e+129],[-9.64326366e+129],[-9.64326366e+129],[-9.64326366e+129],[-9.64326366e+129],[-9.64326366e+129],[[9.22156967e+263]]
[1.90289797e+132],[1.90289797e+132],[1.90289797e+132],[1.90289797e+132],[1.90289797e+132],[1.90289797e+132],[1.90289797e+132],[1.90289797e+132],[1.90289797e+132],[1.90289797e+132],[1.90289797e+132],[1.90289797e+132],[[3.59077153e+268]]
[-3.75497425e+134],[-3.75497425e+134],[-3.75497425e+134],[-3.75497425e+134],[-3.75497425e+134],[-3.75497425e+134],[-3.75497425e+134],[-3.75497425e+134],[-3.75497425e+134],[-3.75497425e+134],[-3.75497425e+134],[-3.75497425e+134],[[1.3982045e+273]]
[7.40966245e+136],[7.40966245e+136],[7.40966245e+136],[7.40966245e+136],[7.40966245e+136],[7.40966245e+136],[7.40966245e+136],[7.40966245e+136],[7.40966245e+136],[7.40966245e+136],[7.40966245e+136],[7.40966245e+136],[[5.44444503e+277]]
[-1.46214312e+139],[-1.46214312e+139],[-1.46214312e+139],[-1.46214312e+139],[-1.46214312e+139],[-1.46214312e+139],[-1.46214312e+139],[-1.46214312e+139],[-1.46214312e+139],[-1.46214312e+139],[-1.46214312e+139],[-1.46214312e+139],[[2.12000331e+282]]
[2.88523602e+141],[2.88523602e+141],[2.88523602e+141],[2.88523602e+141],[2.88523602e+141],[2.88523602e+141],[2.88523602e+141],[2.88523602e+141],[2.88523602e+141],[2.88523602e+141],[2.88523602e+141],[2.88523602e+141],[[8.25504531e+286]]
[-5.69341455e+143],[-5.69341455e+143],[-5.69341455e+143],[-5.69341455e+143],[-5.69341455e+143],[-5.69341455e+143],[-5.69341455e+143],[-5.69341455e+143],[-5.69341455e+143],[-5.69341455e+143],[-5.69341455e+143],[-5.69341455e+143],[[3.21441824e+291]]
[1.12347721e+146],[1.12347721e+146],[1.12347721e+146],[1.12347721e+146],[1.12347721e+146],[1.12347721e+146],[1.12347721e+146],[1.12347721e+146],[1.12347721e+146],[1.12347721e+146],[1.12347721e+146],[1.12347721e+146],[[1.25165692e+296]]
[-2.21694913e+148],[-2.21694913e+148],[-2.21694913e+148],[-2.21694913e+148],[-2.21694913e+148],[-2.21694913e+148],[-2.21694913e+148],[-2.21694913e+148],[-2.21694913e+148],[-2.21694913e+148],[-2.21694913e+148],[-2.21694913e+148],[[4.87380588e+300]]
[4.37468906e+150],[4.37468906e+150],[4.37468906e+150],[4.37468906e+150],[4.37468906e+150],[4.37468906e+150],[4.37468906e+150],[4.37468906e+150],[4.37468906e+150],[4.37468906e+150],[4.37468906e+150],[4.37468906e+150],[[inf]]
[-8.63254102e+152],[-8.63254102e+152],[-8.63254102e+152],[-8.63254102e+152],[-8.63254102e+152],[-8.63254102e+152],[-8.63254102e+152],[-8.63254102e+152],[-8.63254102e+152],[-8.63254102e+152],[-8.63254102e+152],[-8.63254102e+152],[[inf]]
[1.70345283e+155],[1.70345283e+155],[1.70345283e+155],[1.70345283e+155],[1.70345283e+155],[1.70345283e+155],[1.70345283e+155],[1.70345283e+155],[1.70345283e+155],[1.70345283e+155],[1.70345283e+155],[1.70345283e+155],[[nan]]
[-3.36141066e+157],[-3.36141066e+157],[-3.36141066e+157],[-3.36141066e+157],[-3.36141066e+157],[-3.36141066e+157],[-3.36141066e+157],[-3.36141066e+157],[-3.36141066e+157],[-3.36141066e+157],[-3.36141066e+157],[-3.36141066e+157],[[nan]]
[6.63304638e+159],[6.63304638e+159],[6.63304638e+159],[6.63304638e+159],[6.63304638e+159],[6.63304638e+159],[6.63304638e+159],[6.63304638e+159],[6.63304638e+159],[6.63304638e+159],[6.63304638e+159],[6.63304638e+159],[[nan]]
[-1.30889405e+162],[-1.30889405e+162],[-1.30889405e+162],[-1.30889405e+162],[-1.30889405e+162],[-1.30889405e+162],[-1.30889405e+162],[-1.30889405e+162],[-1.30889405e+162],[-1.30889405e+162],[-1.30889405e+162],[-1.30889405e+162],[[nan]]
[2.58283079e+164],[2.58283079e+164],[2.58283079e+164],[2.58283079e+164],[2.58283079e+164],[2.58283079e+164],[2.58283079e+164],[2.58283079e+164],[2.58283079e+164],[2.58283079e+164],[2.58283079e+164],[2.58283079e+164],[[nan]]
[-5.09668059e+166],[-5.09668059e+166],[-5.09668059e+166],[-5.09668059e+166],[-5.09668059e+166],[-5.09668059e+166],[-5.09668059e+166],[-5.09668059e+166],[-5.09668059e+166],[-5.09668059e+166],[-5.09668059e+166],[-5.09668059e+166],[[nan]]
[1.00572415e+169],[1.00572415e+169],[1.00572415e+169],[1.00572415e+169],[1.00572415e+169],[1.00572415e+169],[1.00572415e+169],[1.00572415e+169],[1.00572415e+169],[1.00572415e+169],[1.00572415e+169],[1.00572415e+169],[[nan]]
[-1.9845879e+171],[-1.9845879e+171],[-1.9845879e+171],[-1.9845879e+171],[-1.9845879e+171],[-1.9845879e+171],[-1.9845879e+171],[-1.9845879e+171],[-1.9845879e+171],[-1.9845879e+171],[-1.9845879e+171],[-1.9845879e+171],[[nan]]
[3.91617238e+173],[3.91617238e+173],[3.91617238e+173],[3.91617238e+173],[3.91617238e+173],[3.91617238e+173],[3.91617238e+173],[3.91617238e+173],[3.91617238e+173],[3.91617238e+173],[3.91617238e+173],[3.91617238e+173],[[nan]]
[-7.7277535e+175],[-7.7277535e+175],[-7.7277535e+175],[-7.7277535e+175],[-7.7277535e+175],[-7.7277535e+175],[-7.7277535e+175],[-7.7277535e+175],[-7.7277535e+175],[-7.7277535e+175],[-7.7277535e+175],[-7.7277535e+175],[[nan]]
[1.52491179e+178],[1.52491179e+178],[1.52491179e+178],[1.52491179e+178],[1.52491179e+178],[1.52491179e+178],[1.52491179e+178],[1.52491179e+178],[1.52491179e+178],[1.52491179e+178],[1.52491179e+178],[1.52491179e+178],[[nan]]
[-3.00909697e+180],[-3.00909697e+180],[-3.00909697e+180],[-3.00909697e+180],[-3.00909697e+180],[-3.00909697e+180],[-3.00909697e+180],[-3.00909697e+180],[-3.00909697e+180],[-3.00909697e+180],[-3.00909697e+180],[-3.00909697e+180],[[nan]]
[5.93782842e+182],[5.93782842e+182],[5.93782842e+182],[5.93782842e+182],[5.93782842e+182],[5.93782842e+182],[5.93782842e+182],[5.93782842e+182],[5.93782842e+182],[5.93782842e+182],[5.93782842e+182],[5.93782842e+182],[[nan]]
[-1.17170722e+185],[-1.17170722e+185],[-1.17170722e+185],[-1.17170722e+185],[-1.17170722e+185],[-1.17170722e+185],[-1.17170722e+185],[-1.17170722e+185],[-1.17170722e+185],[-1.17170722e+185],[-1.17170722e+185],[-1.17170722e+185],[[nan]]
[2.31212104e+187],[2.31212104e+187],[2.31212104e+187],[2.31212104e+187],[2.31212104e+187],[2.31212104e+187],[2.31212104e+187],[2.31212104e+187],[2.31212104e+187],[2.31212104e+187],[2.31212104e+187],[2.31212104e+187],[[nan]]
[-4.56249106e+189],[-4.56249106e+189],[-4.56249106e+189],[-4.56249106e+189],[-4.56249106e+189],[-4.56249106e+189],[-4.56249106e+189],[-4.56249106e+189],[-4.56249106e+189],[-4.56249106e+189],[-4.56249106e+189],[-4.56249106e+189],[[nan]]
[9.00312931e+191],[9.00312931e+191],[9.00312931e+191],[9.00312931e+191],[9.00312931e+191],[9.00312931e+191],[9.00312931e+191],[9.00312931e+191],[9.00312931e+191],[9.00312931e+191],[9.00312931e+191],[9.00312931e+191],[[nan]]
[-1.77658074e+194],[-1.77658074e+194],[-1.77658074e+194],[-1.77658074e+194],[-1.77658074e+194],[-1.77658074e+194],[-1.77658074e+194],[-1.77658074e+194],[-1.77658074e+194],[-1.77658074e+194],[-1.77658074e+194],[-1.77658074e+194],[[nan]]
[3.50571341e+196],[3.50571341e+196],[3.50571341e+196],[3.50571341e+196],[3.50571341e+196],[3.50571341e+196],[3.50571341e+196],[3.50571341e+196],[3.50571341e+196],[3.50571341e+196],[3.50571341e+196],[3.50571341e+196],[[nan]]
[-6.91779791e+198],[-6.91779791e+198],[-6.91779791e+198],[-6.91779791e+198],[-6.91779791e+198],[-6.91779791e+198],[-6.91779791e+198],[-6.91779791e+198],[-6.91779791e+198],[-6.91779791e+198],[-6.91779791e+198],[-6.91779791e+198],[[nan]]
[1.36508386e+201],[1.36508386e+201],[1.36508386e+201],[1.36508386e+201],[1.36508386e+201],[1.36508386e+201],[1.36508386e+201],[1.36508386e+201],[1.36508386e+201],[1.36508386e+201],[1.36508386e+201],[1.36508386e+201],[[nan]]
[-2.69370972e+203],[-2.69370972e+203],[-2.69370972e+203],[-2.69370972e+203],[-2.69370972e+203],[-2.69370972e+203],[-2.69370972e+203],[-2.69370972e+203],[-2.69370972e+203],[-2.69370972e+203],[-2.69370972e+203],[-2.69370972e+203],[[nan]]
[5.31547713e+205],[5.31547713e+205],[5.31547713e+205],[5.31547713e+205],[5.31547713e+205],[5.31547713e+205],[5.31547713e+205],[5.31547713e+205],[5.31547713e+205],[5.31547713e+205],[5.31547713e+205],[5.31547713e+205],[[nan]]
[-1.0488991e+208],[-1.0488991e+208],[-1.0488991e+208],[-1.0488991e+208],[-1.0488991e+208],[-1.0488991e+208],[-1.0488991e+208],[-1.0488991e+208],[-1.0488991e+208],[-1.0488991e+208],[-1.0488991e+208],[-1.0488991e+208],[[nan]]
[2.06978472e+210],[2.06978472e+210],[2.06978472e+210],[2.06978472e+210],[2.06978472e+210],[2.06978472e+210],[2.06978472e+210],[2.06978472e+210],[2.06978472e+210],[2.06978472e+210],[2.06978472e+210],[2.06978472e+210],[[nan]]
[-4.08429062e+212],[-4.08429062e+212],[-4.08429062e+212],[-4.08429062e+212],[-4.08429062e+212],[-4.08429062e+212],[-4.08429062e+212],[-4.08429062e+212],[-4.08429062e+212],[-4.08429062e+212],[-4.08429062e+212],[-4.08429062e+212],[[nan]]
[8.05949996e+214],[8.05949996e+214],[8.05949996e+214],[8.05949996e+214],[8.05949996e+214],[8.05949996e+214],[8.05949996e+214],[8.05949996e+214],[8.05949996e+214],[8.05949996e+214],[8.05949996e+214],[8.05949996e+214],[[nan]]
[-1.59037507e+217],[-1.59037507e+217],[-1.59037507e+217],[-1.59037507e+217],[-1.59037507e+217],[-1.59037507e+217],[-1.59037507e+217],[-1.59037507e+217],[-1.59037507e+217],[-1.59037507e+217],[-1.59037507e+217],[-1.59037507e+217],[[nan]]
[3.13827516e+219],[3.13827516e+219],[3.13827516e+219],[3.13827516e+219],[3.13827516e+219],[3.13827516e+219],[3.13827516e+219],[3.13827516e+219],[3.13827516e+219],[3.13827516e+219],[3.13827516e+219],[3.13827516e+219],[[nan]]
[-6.19273478e+221],[-6.19273478e+221],[-6.19273478e+221],[-6.19273478e+221],[-6.19273478e+221],[-6.19273478e+221],[-6.19273478e+221],[-6.19273478e+221],[-6.19273478e+221],[-6.19273478e+221],[-6.19273478e+221],[-6.19273478e+221],[[nan]]
[1.2220077e+224],[1.2220077e+224],[1.2220077e+224],[1.2220077e+224],[1.2220077e+224],[1.2220077e+224],[1.2220077e+224],[1.2220077e+224],[1.2220077e+224],[1.2220077e+224],[1.2220077e+224],[1.2220077e+224],[[nan]]
[-2.4113786e+226],[-2.4113786e+226],[-2.4113786e+226],[-2.4113786e+226],[-2.4113786e+226],[-2.4113786e+226],[-2.4113786e+226],[-2.4113786e+226],[-2.4113786e+226],[-2.4113786e+226],[-2.4113786e+226],[-2.4113786e+226],[[nan]]
