W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,J
[0.90121149],[0.3330368],[0.53692955],[0.68483801],[0.95851575],[0.64886132],[0.06498485],[0.16068753],[0.57431578],[0.41028959],[0.31066009],[0.11525908],[[208.05823611]]
[-27.6547988],[-28.22297349],[-28.01908075],[-27.87117228],[-27.59749454],[-27.90714897],[-28.49102544],[-28.39532276],[-27.98169451],[-28.1457207],[-28.2453502],[-28.44075122],[[8005000.347316]]
[5607.28123974],[5606.71306505],[5606.9169578],[5607.06486626],[5607.338544],[5607.02888957],[5606.4450131],[5606.54071578],[5606.95434403],[5606.79031784],[5606.69068834],[5606.49528733],[[3.11705268e+11]]
[-1106330.41015859],[-1106330.97833328],[-1106330.77444054],[-1106330.62653207],[-1106330.35285433],[-1106330.66250876],[-1106331.24638523],[-1106331.15068256],[-1106330.7370543],[-1106330.9010805],[-1106331.00070999],[-1106331.19611101],[[1.21374391e+16]]
[2.18311498e+08],[2.18311498e+08],[2.18311498e+08],[2.18311498e+08],[2.18311498e+08],[2.18311498e+08],[2.18311497e+08],[2.18311497e+08],[2.18311498e+08],[2.18311498e+08],[2.18311498e+08],[2.18311497e+08],[[4.72617705e+20]]
[-4.30792436e+10],[-4.30792436e+10],[-4.30792436e+10],[-4.30792436e+10],[-4.30792436e+10],[-4.30792436e+10],[-4.30792436e+10],[-4.30792436e+10],[-4.30792436e+10],[-4.30792436e+10],[-4.30792436e+10],[-4.30792436e+10],[[1.84031815e+25]]
[8.50079475e+12],[8.50079475e+12],[8.50079475e+12],[8.50079475e+12],[8.50079475e+12],[8.50079475e+12],[8.50079475e+12],[8.50079475e+12],[8.50079475e+12],[8.50079475e+12],[8.50079475e+12],[8.50079475e+12],[[7.16598394e+29]]
[-1.67745544e+15],[-1.67745544e+15],[-1.67745544e+15],[-1.67745544e+15],[-1.67745544e+15],[-1.67745544e+15],[-1.67745544e+15],[-1.67745544e+15],[-1.67745544e+15],[-1.67745544e+15],[-1.67745544e+15],[-1.67745544e+15],[[2.79035046e+34]]
[3.3101102e+17],[3.3101102e+17],[3.3101102e+17],[3.3101102e+17],[3.3101102e+17],[3.3101102e+17],[3.3101102e+17],[3.3101102e+17],[3.3101102e+17],[3.3101102e+17],[3.3101102e+17],[3.3101102e+17],[[1.08652988e+39]]
[-6.53181557e+19],[-6.53181557e+19],[-6.53181557e+19],[-6.53181557e+19],[-6.53181557e+19],[-6.53181557e+19],[-6.53181557e+19],[-6.53181557e+19],[-6.53181557e+19],[-6.53181557e+19],[-6.53181557e+19],[-6.53181557e+19],[[4.23082047e+43]]
[1.28891825e+22],[1.28891825e+22],[1.28891825e+22],[1.28891825e+22],[1.28891825e+22],[1.28891825e+22],[1.28891825e+22],[1.28891825e+22],[1.28891825e+22],[1.28891825e+22],[1.28891825e+22],[1.28891825e+22],[[1.64743208e+48]]
[-2.5434127e+24],[-2.5434127e+24],[-2.5434127e+24],[-2.5434127e+24],[-2.5434127e+24],[-2.5434127e+24],[-2.5434127e+24],[-2.5434127e+24],[-2.5434127e+24],[-2.5434127e+24],[-2.5434127e+24],[-2.5434127e+24],[[6.41490812e+52]]
[5.01889715e+26],[5.01889715e+26],[5.01889715e+26],[5.01889715e+26],[5.01889715e+26],[5.01889715e+26],[5.01889715e+26],[5.01889715e+26],[5.01889715e+26],[5.01889715e+26],[5.01889715e+26],[5.01889715e+26],[[2.4978903e+57]]
[-9.90375202e+28],[-9.90375202e+28],[-9.90375202e+28],[-9.90375202e+28],[-9.90375202e+28],[-9.90375202e+28],[-9.90375202e+28],[-9.90375202e+28],[-9.90375202e+28],[-9.90375202e+28],[-9.90375202e+28],[-9.90375202e+28],[[9.72649313e+61]]
[1.95429994e+31],[1.95429994e+31],[1.95429994e+31],[1.95429994e+31],[1.95429994e+31],[1.95429994e+31],[1.95429994e+31],[1.95429994e+31],[1.95429994e+31],[1.95429994e+31],[1.95429994e+31],[1.95429994e+31],[[3.78738283e+66]]
