W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,J
[1.52320784e+14],[1.52320784e+14],[1.52320784e+14],[1.52320784e+14],[1.52320784e+14],[1.52320784e+14],[1.52320784e+14],[1.52320784e+14],[1.52320784e+14],[1.52320784e+14],[1.52320784e+14],[1.52320784e+14],[[2.30078005e+32]]
[3.03369117e+14],[3.03369117e+14],[3.03369117e+14],[3.03369117e+14],[3.03369117e+14],[3.03369117e+14],[3.03369117e+14],[3.03369117e+14],[3.03369117e+14],[3.03369117e+14],[3.03369117e+14],[3.03369117e+14],[[9.12640012e+32]]
[6.04203962e+14],[6.04203962e+14],[6.04203962e+14],[6.04203962e+14],[6.04203962e+14],[6.04203962e+14],[6.04203962e+14],[6.04203962e+14],[6.04203962e+14],[6.04203962e+14],[6.04203962e+14],[6.04203962e+14],[[3.62012784e+33]]
[1.20336055e+15],[1.20336055e+15],[1.20336055e+15],[1.20336055e+15],[1.20336055e+15],[1.20336055e+15],[1.20336055e+15],[1.20336055e+15],[1.20336055e+15],[1.20336055e+15],[1.20336055e+15],[1.20336055e+15],[[1.43597973e+34]]
[2.39666851e+15],[2.39666851e+15],[2.39666851e+15],[2.39666851e+15],[2.39666851e+15],[2.39666851e+15],[2.39666851e+15],[2.39666851e+15],[2.39666851e+15],[2.39666851e+15],[2.39666851e+15],[2.39666851e+15],[[5.6960358e+34]]
[4.77331583e+15],[4.77331583e+15],[4.77331583e+15],[4.77331583e+15],[4.77331583e+15],[4.77331583e+15],[4.77331583e+15],[4.77331583e+15],[4.77331583e+15],[4.77331583e+15],[4.77331583e+15],[4.77331583e+15],[[2.25942074e+35]]
[9.50675653e+15],[9.50675653e+15],[9.50675653e+15],[9.50675653e+15],[9.50675653e+15],[9.50675653e+15],[9.50675653e+15],[9.50675653e+15],[9.50675653e+15],[9.50675653e+15],[9.50675653e+15],[9.50675653e+15],[[8.96234201e+35]]
[1.89340959e+16],[1.89340959e+16],[1.89340959e+16],[1.89340959e+16],[1.89340959e+16],[1.89340959e+16],[1.89340959e+16],[1.89340959e+16],[1.89340959e+16],[1.89340959e+16],[1.89340959e+16],[1.89340959e+16],[[3.55505165e+36]]
[3.77100209e+16],[3.77100209e+16],[3.77100209e+16],[3.77100209e+16],[3.77100209e+16],[3.77100209e+16],[3.77100209e+16],[3.77100209e+16],[3.77100209e+16],[3.77100209e+16],[3.77100209e+16],[3.77100209e+16],[[1.41016625e+37]]
[7.51050214e+16],[7.51050214e+16],[7.51050214e+16],[7.51050214e+16],[7.51050214e+16],[7.51050214e+16],[7.51050214e+16],[7.51050214e+16],[7.51050214e+16],[7.51050214e+16],[7.51050214e+16],[7.51050214e+16],[[5.59364265e+37]]
[1.49582633e+17],[1.49582633e+17],[1.49582633e+17],[1.49582633e+17],[1.49582633e+17],[1.49582633e+17],[1.49582633e+17],[1.49582633e+17],[1.49582633e+17],[1.49582633e+17],[1.49582633e+17],[1.49582633e+17],[[2.21880492e+38]]
[2.9791569e+17],[2.9791569e+17],[2.9791569e+17],[2.9791569e+17],[2.9791569e+17],[2.9791569e+17],[2.9791569e+17],[2.9791569e+17],[2.9791569e+17],[2.9791569e+17],[2.9791569e+17],[2.9791569e+17],[[8.80123305e+38]]
[5.93342663e+17],[5.93342663e+17],[5.93342663e+17],[5.93342663e+17],[5.93342663e+17],[5.93342663e+17],[5.93342663e+17],[5.93342663e+17],[5.93342663e+17],[5.93342663e+17],[5.93342663e+17],[5.93342663e+17],[[3.49114529e+39]]
[1.18172868e+18],[1.18172868e+18],[1.18172868e+18],[1.18172868e+18],[1.18172868e+18],[1.18172868e+18],[1.18172868e+18],[1.18172868e+18],[1.18172868e+18],[1.18172868e+18],[1.18172868e+18],[1.18172868e+18],[[1.3848168e+40]]
[2.35358549e+18],[2.35358549e+18],[2.35358549e+18],[2.35358549e+18],[2.35358549e+18],[2.35358549e+18],[2.35358549e+18],[2.35358549e+18],[2.35358549e+18],[2.35358549e+18],[2.35358549e+18],[2.35358549e+18],[[5.49309014e+40]]
[4.68750969e+18],[4.68750969e+18],[4.68750969e+18],[4.68750969e+18],[4.68750969e+18],[4.68750969e+18],[4.68750969e+18],[4.68750969e+18],[4.68750969e+18],[4.68750969e+18],[4.68750969e+18],[4.68750969e+18],[[2.17891921e+41]]
[9.33586106e+18],[9.33586106e+18],[9.33586106e+18],[9.33586106e+18],[9.33586106e+18],[9.33586106e+18],[9.33586106e+18],[9.33586106e+18],[9.33586106e+18],[9.33586106e+18],[9.33586106e+18],[9.33586106e+18],[[8.64302022e+41]]
[1.85937326e+19],[1.85937326e+19],[1.85937326e+19],[1.85937326e+19],[1.85937326e+19],[1.85937326e+19],[1.85937326e+19],[1.85937326e+19],[1.85937326e+19],[1.85937326e+19],[1.85937326e+19],[1.85937326e+19],[[3.42838772e+42]]
[3.70321376e+19],[3.70321376e+19],[3.70321376e+19],[3.70321376e+19],[3.70321376e+19],[3.70321376e+19],[3.70321376e+19],[3.70321376e+19],[3.70321376e+19],[3.70321376e+19],[3.70321376e+19],[3.70321376e+19],[[1.35992304e+43]]
[7.37549176e+19],[7.37549176e+19],[7.37549176e+19],[7.37549176e+19],[7.37549176e+19],[7.37549176e+19],[7.37549176e+19],[7.37549176e+19],[7.37549176e+19],[7.37549176e+19],[7.37549176e+19],[7.37549176e+19],[[5.39434519e+43]]
[1.46893704e+20],[1.46893704e+20],[1.46893704e+20],[1.46893704e+20],[1.46893704e+20],[1.46893704e+20],[1.46893704e+20],[1.46893704e+20],[1.46893704e+20],[1.46893704e+20],[1.46893704e+20],[1.46893704e+20],[[2.13975049e+44]]
[2.92560294e+20],[2.92560294e+20],[2.92560294e+20],[2.92560294e+20],[2.92560294e+20],[2.92560294e+20],[2.92560294e+20],[2.92560294e+20],[2.92560294e+20],[2.92560294e+20],[2.92560294e+20],[2.92560294e+20],[[8.48765146e+44]]
[5.8267661e+20],[5.8267661e+20],[5.8267661e+20],[5.8267661e+20],[5.8267661e+20],[5.8267661e+20],[5.8267661e+20],[5.8267661e+20],[5.8267661e+20],[5.8267661e+20],[5.8267661e+20],[5.8267661e+20],[[3.36675829e+45]]
[1.16048568e+21],[1.16048568e+21],[1.16048568e+21],[1.16048568e+21],[1.16048568e+21],[1.16048568e+21],[1.16048568e+21],[1.16048568e+21],[1.16048568e+21],[1.16048568e+21],[1.16048568e+21],[1.16048568e+21],[[1.33547678e+46]]
[2.31127694e+21],[2.31127694e+21],[2.31127694e+21],[2.31127694e+21],[2.31127694e+21],[2.31127694e+21],[2.31127694e+21],[2.31127694e+21],[2.31127694e+21],[2.31127694e+21],[2.31127694e+21],[2.31127694e+21],[[5.2973753e+46]]
[4.60324603e+21],[4.60324603e+21],[4.60324603e+21],[4.60324603e+21],[4.60324603e+21],[4.60324603e+21],[4.60324603e+21],[4.60324603e+21],[4.60324603e+21],[4.60324603e+21],[4.60324603e+21],[4.60324603e+21],[[2.10128589e+47]]
[9.16803764e+21],[9.16803764e+21],[9.16803764e+21],[9.16803764e+21],[9.16803764e+21],[9.16803764e+21],[9.16803764e+21],[9.16803764e+21],[9.16803764e+21],[9.16803764e+21],[9.16803764e+21],[9.16803764e+21],[[8.33507563e+47]]
[1.82594877e+22],[1.82594877e+22],[1.82594877e+22],[1.82594877e+22],[1.82594877e+22],[1.82594877e+22],[1.82594877e+22],[1.82594877e+22],[1.82594877e+22],[1.82594877e+22],[1.82594877e+22],[1.82594877e+22],[[3.30623673e+48]]
[3.636644e+22],[3.636644e+22],[3.636644e+22],[3.636644e+22],[3.636644e+22],[3.636644e+22],[3.636644e+22],[3.636644e+22],[3.636644e+22],[3.636644e+22],[3.636644e+22],[3.636644e+22],[[1.31146996e+49]]
[7.24290836e+22],[7.24290836e+22],[7.24290836e+22],[7.24290836e+22],[7.24290836e+22],[7.24290836e+22],[7.24290836e+22],[7.24290836e+22],[7.24290836e+22],[7.24290836e+22],[7.24290836e+22],[7.24290836e+22],[[5.20214855e+49]]
[1.44253112e+23],[1.44253112e+23],[1.44253112e+23],[1.44253112e+23],[1.44253112e+23],[1.44253112e+23],[1.44253112e+23],[1.44253112e+23],[1.44253112e+23],[1.44253112e+23],[1.44253112e+23],[1.44253112e+23],[[2.06351273e+50]]
[2.87301168e+23],[2.87301168e+23],[2.87301168e+23],[2.87301168e+23],[2.87301168e+23],[2.87301168e+23],[2.87301168e+23],[2.87301168e+23],[2.87301168e+23],[2.87301168e+23],[2.87301168e+23],[2.87301168e+23],[[8.18524255e+50]]
[5.72202291e+23],[5.72202291e+23],[5.72202291e+23],[5.72202291e+23],[5.72202291e+23],[5.72202291e+23],[5.72202291e+23],[5.72202291e+23],[5.72202291e+23],[5.72202291e+23],[5.72202291e+23],[5.72202291e+23],[[3.24680312e+51]]
[1.13962454e+24],[1.13962454e+24],[1.13962454e+24],[1.13962454e+24],[1.13962454e+24],[1.13962454e+24],[1.13962454e+24],[1.13962454e+24],[1.13962454e+24],[1.13962454e+24],[1.13962454e+24],[1.13962454e+24],[[1.2878947e+52]]
[2.26972893e+24],[2.26972893e+24],[2.26972893e+24],[2.26972893e+24],[2.26972893e+24],[2.26972893e+24],[2.26972893e+24],[2.26972893e+24],[2.26972893e+24],[2.26972893e+24],[2.26972893e+24],[2.26972893e+24],[[5.10863363e+52]]
[4.5204971e+24],[4.5204971e+24],[4.5204971e+24],[4.5204971e+24],[4.5204971e+24],[4.5204971e+24],[4.5204971e+24],[4.5204971e+24],[4.5204971e+24],[4.5204971e+24],[4.5204971e+24],[4.5204971e+24],[[2.02641858e+53]]
[9.00323105e+24],[9.00323105e+24],[9.00323105e+24],[9.00323105e+24],[9.00323105e+24],[9.00323105e+24],[9.00323105e+24],[9.00323105e+24],[9.00323105e+24],[9.00323105e+24],[9.00323105e+24],[9.00323105e+24],[[8.03810289e+53]]
[1.79312513e+25],[1.79312513e+25],[1.79312513e+25],[1.79312513e+25],[1.79312513e+25],[1.79312513e+25],[1.79312513e+25],[1.79312513e+25],[1.79312513e+25],[1.79312513e+25],[1.79312513e+25],[1.79312513e+25],[[3.1884379e+54]]
[3.57127092e+25],[3.57127092e+25],[3.57127092e+25],[3.57127092e+25],[3.57127092e+25],[3.57127092e+25],[3.57127092e+25],[3.57127092e+25],[3.57127092e+25],[3.57127092e+25],[3.57127092e+25],[3.57127092e+25],[[1.26474323e+55]]
[7.1127083e+25],[7.1127083e+25],[7.1127083e+25],[7.1127083e+25],[7.1127083e+25],[7.1127083e+25],[7.1127083e+25],[7.1127083e+25],[7.1127083e+25],[7.1127083e+25],[7.1127083e+25],[7.1127083e+25],[[5.01679975e+55]]
[1.41659987e+26],[1.41659987e+26],[1.41659987e+26],[1.41659987e+26],[1.41659987e+26],[1.41659987e+26],[1.41659987e+26],[1.41659987e+26],[1.41659987e+26],[1.41659987e+26],[1.41659987e+26],[1.41659987e+26],[[1.98999125e+56]]
[2.82136581e+26],[2.82136581e+26],[2.82136581e+26],[2.82136581e+26],[2.82136581e+26],[2.82136581e+26],[2.82136581e+26],[2.82136581e+26],[2.82136581e+26],[2.82136581e+26],[2.82136581e+26],[2.82136581e+26],[[7.89360825e+56]]
[5.61916262e+26],[5.61916262e+26],[5.61916262e+26],[5.61916262e+26],[5.61916262e+26],[5.61916262e+26],[5.61916262e+26],[5.61916262e+26],[5.61916262e+26],[5.61916262e+26],[5.61916262e+26],[5.61916262e+26],[[3.13112186e+57]]
[1.11913841e+27],[1.11913841e+27],[1.11913841e+27],[1.11913841e+27],[1.11913841e+27],[1.11913841e+27],[1.11913841e+27],[1.11913841e+27],[1.11913841e+27],[1.11913841e+27],[1.11913841e+27],[1.11913841e+27],[[1.24200794e+58]]
[2.22892781e+27],[2.22892781e+27],[2.22892781e+27],[2.22892781e+27],[2.22892781e+27],[2.22892781e+27],[2.22892781e+27],[2.22892781e+27],[2.22892781e+27],[2.22892781e+27],[2.22892781e+27],[2.22892781e+27],[[4.92661669e+58]]
[4.43923568e+27],[4.43923568e+27],[4.43923568e+27],[4.43923568e+27],[4.43923568e+27],[4.43923568e+27],[4.43923568e+27],[4.43923568e+27],[4.43923568e+27],[4.43923568e+27],[4.43923568e+27],[4.43923568e+27],[[1.95421875e+59]]
[8.84138706e+27],[8.84138706e+27],[8.84138706e+27],[8.84138706e+27],[8.84138706e+27],[8.84138706e+27],[8.84138706e+27],[8.84138706e+27],[8.84138706e+27],[8.84138706e+27],[8.84138706e+27],[8.84138706e+27],[[7.75171107e+59]]
[1.76089153e+28],[1.76089153e+28],[1.76089153e+28],[1.76089153e+28],[1.76089153e+28],[1.76089153e+28],[1.76089153e+28],[1.76089153e+28],[1.76089153e+28],[1.76089153e+28],[1.76089153e+28],[1.76089153e+28],[[3.07483615e+60]]
[3.507073e+28],[3.507073e+28],[3.507073e+28],[3.507073e+28],[3.507073e+28],[3.507073e+28],[3.507073e+28],[3.507073e+28],[3.507073e+28],[3.507073e+28],[3.507073e+28],[3.507073e+28],[[1.21968134e+61]]
[6.98484875e+28],[6.98484875e+28],[6.98484875e+28],[6.98484875e+28],[6.98484875e+28],[6.98484875e+28],[6.98484875e+28],[6.98484875e+28],[6.98484875e+28],[6.98484875e+28],[6.98484875e+28],[6.98484875e+28],[[4.83805478e+61]]
[1.39113477e+29],[1.39113477e+29],[1.39113477e+29],[1.39113477e+29],[1.39113477e+29],[1.39113477e+29],[1.39113477e+29],[1.39113477e+29],[1.39113477e+29],[1.39113477e+29],[1.39113477e+29],[1.39113477e+29],[[1.9190893e+62]]
[2.77064834e+29],[2.77064834e+29],[2.77064834e+29],[2.77064834e+29],[2.77064834e+29],[2.77064834e+29],[2.77064834e+29],[2.77064834e+29],[2.77064834e+29],[2.77064834e+29],[2.77064834e+29],[2.77064834e+29],[[7.61236467e+62]]
